product,mint,white,fluoride,kids,size,discount,familypack,priceperpack,Chosen,delta
1,0.0,1.0,0.0,0.0,3.9000000999999997,0.0,0.0,4.0956521739130425,6,0.0006
2,0.0,1.0,0.0,0.0,3.9000001,0.0,1.0,3.853913043478261,1,0.0001
3,0.0,1.0,0.0,0.0,3.9000000999999997,1.0,0.0,3.6656890552191594,103,0.0103
4,0.0,1.0,0.0,0.0,3.9000001,1.0,1.0,3.423408990909091,95,0.0095
5,0.0,1.0,0.0,0.0,4.8000002,0.0,0.0,5.029804249183895,0,0.0
6,0.0,1.0,0.0,0.0,4.8000002,0.0,1.0,4.7624792049586775,0,0.0
7,0.0,1.0,0.0,0.0,4.8000002,1.0,0.0,4.5117831238537605,0,0.0
8,0.0,1.0,0.0,0.0,4.8000002,1.0,1.0,4.219056173187415,3,0.0003
9,0.0,1.0,0.0,1.0,3.9000000999999997,0.0,0.0,4.4825804451612905,0,0.0
10,0.0,1.0,0.0,1.0,3.9000001,0.0,1.0,4.242212446902656,0,0.0
11,0.0,1.0,0.0,1.0,3.9000000999999997,1.0,0.0,4.056929872227152,23,0.0023
12,0.0,1.0,0.0,1.0,3.9000001,1.0,1.0,3.8126347914547307,20,0.002
13,0.0,1.0,0.0,1.0,4.8000002,0.0,0.0,5.509657039263025,0,0.0
14,0.0,1.0,0.0,1.0,4.8000002,0.0,1.0,5.241317022195122,0,0.0
15,0.0,1.0,0.0,1.0,4.8000002,1.0,0.0,4.987476721404884,0,0.0
16,0.0,1.0,0.0,1.0,4.8000002,1.0,1.0,4.701836262662115,0,0.0
17,1.0,0.0,1.0,0.0,3.9000001,0.0,0.0,4.069421930250481,35,0.0035
18,1.0,0.0,1.0,0.0,3.9000001,0.0,1.0,3.8165,41,0.0041
19,1.0,0.0,1.0,0.0,3.9000001,1.0,0.0,3.622249985833333,492,0.0492
20,1.0,0.0,1.0,0.0,3.9000001,1.0,1.0,3.400375682881002,342,0.0342
21,1.0,0.0,1.0,0.0,4.8000002,0.0,0.0,4.979226347479484,0,0.0
22,1.0,0.0,1.0,0.0,4.8000002,0.0,1.0,4.707087996428571,0,0.0
23,1.0,0.0,1.0,0.0,4.8000002,1.0,0.0,4.4679926726562496,43,0.0043
24,1.0,0.0,1.0,0.0,4.8000002,1.0,1.0,4.157185273207036,65,0.0065
25,0.0,1.0,1.0,1.0,3.9000001000000006,0.0,0.0,4.572278281012658,0,0.0
26,0.0,1.0,1.0,1.0,3.9000001,0.0,1.0,4.324375029166666,2,0.0002
27,0.0,1.0,1.0,1.0,3.9000001,1.0,0.0,4.132667504313174,12,0.0012
28,0.0,1.0,1.0,1.0,3.9000001,1.0,1.0,3.899447136180904,27,0.0027
29,0.0,1.0,1.0,1.0,4.8000002,0.0,0.0,5.6043786846153845,0,0.0
30,0.0,1.0,1.0,1.0,4.8000002,0.0,1.0,5.338679262533693,0,0.0
31,0.0,1.0,1.0,1.0,4.8000002,1.0,0.0,5.0927473919776665,0,0.0
32,0.0,1.0,1.0,1.0,4.8000002,1.0,1.0,4.80399296719178,0,0.0
33,1.0,0.0,1.0,0.0,3.9000001,0.0,0.0,4.060478691843972,365,0.0365
34,1.0,0.0,1.0,0.0,3.9000001,0.0,1.0,3.8080000000000003,179,0.0179
35,1.0,0.0,1.0,0.0,3.9000000999999997,1.0,0.0,3.6230546625847264,1924,0.1924
36,1.0,0.0,1.0,0.0,3.9000001,1.0,1.0,3.3896845388606307,941,0.0941
37,1.0,0.0,1.0,0.0,4.8000002,0.0,0.0,4.986596330164319,105,0.0105
38,1.0,0.0,1.0,0.0,4.8000002,0.0,1.0,4.706772571164021,98,0.0098
39,1.0,0.0,1.0,0.0,4.8000002,1.0,0.0,4.466296180764635,1140,0.114
40,1.0,0.0,1.0,0.0,4.8000002,1.0,1.0,4.176645674251914,845,0.0845
41,1.0,1.0,0.0,0.0,3.9000001,0.0,0.0,4.096190476190476,63,0.0063
42,1.0,1.0,0.0,0.0,3.9000001,0.0,1.0,3.860414937759336,76,0.0076
43,1.0,1.0,0.0,0.0,3.9000000999999997,1.0,0.0,3.6603193743123335,692,0.0692
44,1.0,1.0,0.0,0.0,3.9000001,1.0,1.0,3.413363536363636,503,0.0503
45,1.0,1.0,0.0,0.0,4.8000002,0.0,0.0,5.042100956542617,0,0.0
46,1.0,1.0,0.0,0.0,4.8000002,0.0,1.0,4.756484012103746,0,0.0
47,1.0,1.0,0.0,0.0,4.8000002,1.0,0.0,4.510754242131829,55,0.0055
48,1.0,1.0,0.0,0.0,4.8000002,1.0,1.0,4.227170680721221,106,0.0106
49,0.0,0.0,1.0,1.0,3.9000001,0.0,0.0,4.448160850191571,1,0.0001
50,0.0,0.0,1.0,1.0,3.9000001,0.0,1.0,4.1900000764705885,1,0.0001
51,0.0,0.0,1.0,1.0,3.9000001,1.0,0.0,4.0180636778699865,42,0.0042
52,0.0,0.0,1.0,1.0,3.9000001,1.0,1.0,3.7802564102564102,32,0.0032
53,0.0,0.0,1.0,1.0,4.8000002,0.0,0.0,5.481824901094892,0,0.0
54,0.0,0.0,1.0,1.0,4.8000002,0.0,1.0,5.173461711538462,0,0.0
55,0.0,0.0,1.0,1.0,4.8000002,1.0,0.0,4.943839696407538,0,0.0
56,0.0,0.0,1.0,1.0,4.8000002,1.0,1.0,4.65869209015852,0,0.0
57,1.0,1.0,0.0,0.0,3.9000001,0.0,0.0,4.1049387040280205,24,0.0024
58,1.0,1.0,0.0,0.0,3.9000001,0.0,1.0,3.8639240506329116,19,0.0019
